player_id,name,position,G,A,points,shots,timeOnIcePerGame
8478366,FRANK VATRANO,C,13,13,26,128,14.48
8477989,CHRISTIAN DVORAK,C,11,15,26,99,15.8
8475714,CALLE JARNKROK,C,11,15,26,103,15.29
8475178,ZACK KASSIAN,RW,12,14,26,90,15.01
8474870,TYLER JOHNSON,C,13,13,26,96,14.2
8471262,CARL SODERBERG,C,12,14,26,106,15.46
8476399,BLAKE COLEMAN,C,15,10,25,148,15.97
8479325,CHARLIE MCAVOY,D,5,20,25,87,21.69
8476410,JOSH LEIVO,LW,10,15,25,106,14.41
8474589,TYLER ENNIS,LW,12,13,25,114,13.76
8477504,JOSH MORRISSEY,D,5,20,25,96,21.46
8471707,JAMES NEAL,LW,14,11,25,112,15.54
8474716,JARED SPURGEON,D,8,17,25,94,21.47
8476480,VLADISLAV NAMESTNIKOV,C,12,13,25,85,14.55
8477499,RASMUS RISTOLAINEN,D,4,21,25,104,21.7
8474009,NICK BONINO,C,12,13,25,85,15.85
8478400,COLIN WHITE,C,8,16,24,85,15.19
8479410,MIKHAIL SERGACHEV,D,6,18,24,94,19.13
8477960,ADRIAN KEMPE,LW,9,15,24,109,15.26
8479316,LUKE KUNIN,C,11,13,24,108,14.96
8470604,JEFF CARTER,C,13,11,24,139,16.35
8478500,IVAN PROVOROV,D,8,16,24,108,23.4
8476856,MATT DUMBA,D,9,15,24,131,21.34
8478046,DANTON HEINEN,C,9,15,24,90,13.97
8476885,JACOB TROUBA,D,5,19,24,118,21.34
8475225,CRAIG SMITH,RW,13,11,24,132,13.25
8477941,NICK RITCHIE,LW,9,15,24,89,13.84
8474068,KYLE TURRIS,C,7,17,24,80,14.91
8473422,NICK FOLIGNO,LW,9,15,24,105,17.7
8475171,OLIVER EKMAN-LARSSON,D,7,17,24,108,21.77
8476958,JACCOB SLAVIN,D,5,19,24,107,22.03
8476924,MARTIN FRK,RW,14,10,24,81,12.99
8476851,ALEX GALCHENYUK,LW,9,15,24,88,12.41
8477429,ANDREW COPP,C,10,14,24,101,16.37
8477498,DARNELL NURSE,D,5,19,24,124,22.15
8477937,JAKE VIRTANEN,RW,12,12,24,114,12.95
8475218,MATTIAS EKHOLM,D,5,19,24,110,22.04
8475098,TYLER BOZAK,C,9,15,24,92,14.92
8475764,CAM FOWLER,D,6,17,23,96,20.93
8476923,DAMON SEVERSON,D,6,17,23,92,21.57
8479398,SAMUEL GIRARD,D,3,20,23,80,19.99
8475222,SAMI VATANEN,D,5,18,23,106,20.57
8478493,JOEL ERIKSSON EK,C,8,15,23,100,14.92
8476432,BOONE JENNER,C,10,13,23,132,17.2
8469459,MIKKO KOIVU,C,6,17,23,81,15.29
8478585,DEREK RYAN,C,8,15,23,80,14.02
8478458,JACK ROSLOVIC,C,9,14,23,89,13.89
8474613,DEREK STEPAN,C,8,15,23,124,17.04
8473533,JORDAN STAAL,C,8,15,23,107,16.83
8477476,ARTTURI LEHKONEN,LW,10,12,22,111,14.9
8477505,ALEXANDER WENNBERG,C,5,17,22,71,15.85
8476892,COLTON PARAYKO,D,8,14,22,127,21.71
8474162,JAKE MUZZIN,D,5,17,22,96,20.41
8470281,DUNCAN KEITH,D,2,20,22,93,22.81
8475855,JESPER FAST,RW,9,13,22,73,15.86
8476994,VINNIE HINOSTROZA,LW,7,15,22,104,13.01
8473544,DERICK BRASSARD,C,9,13,22,87,13.46
8475209,RICHARD PANIK,RW,9,12,21,70,11.77
8476897,OSKAR SUNDQVIST,C,10,11,21,92,13.87
8477839,CONOR SHEARY,LW,9,12,21,91,12.95
8479293,BRANDON TANEV,LW,9,12,21,83,14.22
8476393,NICK COUSINS,C,8,13,21,95,13.14
8479345,JAKOB CHYCHRUN,D,8,13,21,125,20.97
8474038,PAUL BYRON,LW,9,12,21,70,13.92
8475220,MARCUS FOLIGNO,LW,9,12,21,80,13.87
8475236,CODY EAKIN,C,9,12,21,76,14.2
8476906,SHAYNE GOSTISBEHERE,D,6,15,21,98,17.55
8478866,DOMINIK SIMON,C,7,14,21,92,13.86
8471274,ALEX GOLIGOSKI,D,3,18,21,77,21.53
