player_id,name,position,goals,assists,points,shots,timeOnIcePerGame
8478906,Markus Nutivaara,D,4,10,14,68,15.5
8470655,David Backes,RW,4,10,14,80,9.82
8476917,Adam Pelech,D,2,12,14,76,19.77
8470144,Frans Nielsen,C,5,9,14,79,13.61
8476873,Mark Jankowski,C,7,7,14,52,11.15
8476915,Jujhar Khaira,LW,6,8,14,65,12.28
8476312,Josh Manson,D,2,11,13,71,19.74
8474697,Mark Borowiecki,D,4,9,13,65,16.91
8478432,Christian Fischer,RW,7,6,13,83,11.13
8476894,Brendan Leipsic,LW,4,9,13,55,9.71
8479442,Troy Stecher,D,3,10,13,67,15.27
8477018,Ben Hutton,D,3,10,13,88,17.85
8476858,Phillip Di Giuseppe,LW,4,9,13,89,11.04
8471709,Marc-Edouard Vlasic,D,3,10,13,64,19.34
8473504,Cal Clutterbuck,RW,5,8,13,62,13.14
8476886,Slater Koekkoek,D,3,10,13,64,15.99
8475177,Calvin de Haan,D,2,11,13,78,18.78
8476331,Dylan DeMelo,D,1,12,13,72,19.04
8476429,Scott Mayfield,D,4,9,13,78,18.83
8477462,Robert Hagg,D,3,10,13,51,15.16
8477851,Jordan Oesterle,D,3,10,13,63,16.5
8476941,Connor Carrick,D,3,10,13,54,14.21
8474584,Michael Del Zotto,D,1,12,13,64,17.68
8478443,Brandon Carlo,D,3,10,13,89,19.39
8475780,Chris Wagner,RW,7,6,13,76,12.23
8476879,Cody Ceci,D,3,10,13,64,19.69
8470755,Brad Richardson,C,7,6,13,79,13.51
8475690,Christopher Tanev,D,1,12,13,45,18.64
8471699,Andrew Cogliano,LW,4,9,13,65,12.2
8477464,Nic Petan,LW,3,9,12,67,10.66
8476822,Luke Glendening,RW,6,6,12,73,14.86
8474062,Riley Nash,C,4,8,12,60,11.56
8475455,Brenden Dillon,D,1,11,12,52,18.42
8475235,Nicolas Deslauriers,LW,6,6,12,61,9.83
8477938,Haydn Fleury,D,3,9,12,70,13.19
8476470,Nathan Beaulieu,D,2,10,12,61,16.15
